"filename", "language", "PHP", "JavaScript", "XML", "PostCSS", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Belarusian.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 2, 23
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Bulgarian.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Catalan.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Chinese-traditional.json", "JSON", 0, 0, 0, 0, 239, 0, 0, 0, 239
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Chinese.json", "JSON", 0, 0, 0, 0, 24, 0, 0, 3, 27
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Croatian.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Czech.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Danish.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Dutch.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\English.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 2, 25
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Estonian.json", "JSON", 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Filipino.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Finnish.json", "JSON", 0, 0, 0, 0, 39, 0, 0, 3, 42
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\French.json", "JSON", 0, 0, 0, 0, 22, 0, 0, 3, 25
